start,goal,runs,path_found,total_cost,runtime_ms_min,runtime_ms_mean,runtime_ms_max,algorithm,cost_type,dataset,edge_node_ratio,expanded_backward_max,expanded_backward_mean,expanded_backward_min,expanded_forward_max,expanded_forward_mean,expanded_forward_min,expanded_nodes_max,expanded_nodes_mean,expanded_nodes_min,optimality_gap_pct,runs_per_pair,scenario,seed,stress_max,stress_mean,stress_min
N_0_0,N_48_53,10,True,263.20531084280213,20.259900018572807,22.61084000347182,25.103499996475875,dijkstra,distance,graph_5000,3.46,,,,,,,3148,3148,3148,0.0,10,mixed,42,0.6296,0.6296,0.6296
N_0_0,N_45_99,10,True,406.016163682926,32.097999996040016,34.22144000651315,36.53340000892058,dijkstra,distance,graph_5000,3.46,,,,,,,4866,4866,4866,0.0,10,mixed,42,0.9732,0.9732,0.9732
N_0_0,N_9_99,10,True,419.5299999999999,31.82630002265796,32.93827000306919,34.591600007843226,dijkstra,time,graph_5000,3.46,,,,,,,4574,4574,4574,0.0,10,mixed,42,0.9148,0.9148,0.9148
N_0_0,N_7_53,10,True,229.68999999999997,10.875499981921166,12.089530006051064,13.920900004450232,dijkstra,time,graph_5000,3.46,,,,,,,1778,1778,1778,0.0,10,mixed,42,0.3556,0.3556,0.3556
N_0_0,N_4_99,10,True,408.83,30.54449998307973,32.35982998739928,35.75409995391965,dijkstra,time,graph_5000,3.46,,,,,,,4470,4470,4470,0.0,10,mixed,42,0.894,0.894,0.894
N_0_0,N_48_53,10,True,305.71999999999997,20.962300011888146,22.53490998991765,24.84939998248592,dijkstra,time,graph_5000,3.46,,,,,,,3071,3071,3071,0.0,10,mixed,42,0.6142,0.6142,0.6142
N_0_0,N_45_99,10,True,463.78,33.16019999329001,35.80344999791123,37.7155999885872,dijkstra,time,graph_5000,3.46,,,,,,,4889,4889,4889,0.0,10,mixed,42,0.9778,0.9778,0.9778
N_0_0,N_9_99,10,True,364.7027202943668,29.719799989834428,34.588680003071204,45.2561000129208,bidirectional_dijkstra,distance,graph_5000,3.46,2293,2293,2293,1734,1734,1734,4027,4027,4027,1.5586233855049758e-14,10,mixed,42,0.8054,0.8054,0.8054
N_0_0,N_7_53,10,True,181.92256659112138,18.09460000367835,19.2344699986279,20.023099961690605,bidirectional_dijkstra,distance,graph_5000,3.46,2055,2055,2055,404,404,404,2459,2459,2459,-3.124594157060568e-14,10,mixed,42,0.4918,0.4918,0.4918
N_0_0,N_4_99,10,True,346.046398332055,27.141799975652248,28.981250000651926,32.21800003666431,bidirectional_dijkstra,distance,graph_5000,3.46,2282,2282,2282,1532,1532,1532,3814,3814,3814,0.0,10,mixed,42,0.7628,0.7628,0.7628
